Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
ATLO,4010,80.61488551350789,59.57482322699376,49.48922745066875,63.22631206372347,0.0,7397122.168608609,0.052682676,0.55159835760856
IMAX,5020,79.76633038563196,59.18143136816699,50.62344526856061,63.19040234078651,42.0,20262825.8876834,0.02670742,0.2522387456538287
GENC,2010,75.29835452765859,62.26461918915007,51.94966800127113,63.17088057269326,5.0,10611700.958684392,-0.002372061,1.1749153076960082
ITGR,3510,75.47375471361761,61.12864847651468,52.82266808518327,63.14169042510519,20.0,8133979.359906431,0.017082116,0.6590914749340049
GEF,1510,75.23039240817481,61.120862593791635,53.0682271329942,63.13982737832021,40.0,3426785.691952963,0.029072353,0.8851180466595223
EXLS,2020,75.06892666062548,60.78154851829864,53.4616430121065,63.104039397010204,20.0,21964313.80736676,0.030282084,0.7686893584968029
VSEC,2010,75.30799573487803,61.813120186841374,51.988561424317226,63.03655911534555,5.0,31683859.151747968,0.002856423,1.1742613259864192
ARQ,1510,69.55613629638785,63.44472544358705,56.06588112341585,63.02224762113025,20.0,73071727.44487278,-0.010374095,1.8907170914773566
DHIL,4020,76.29500193968411,61.52291163052327,51.22123927940742,63.013050949871605,20.0,16640340.648814833,-0.000515635,0.7591777066363626
JBIO,3520,81.68790253976444,58.60030283332766,48.716236464350644,63.00148061248092,20.0,-6052544.321402742,-0.064211161,-0.16496067424426816
MLM,1510,76.27510664138455,60.072603206328786,52.569595720268886,62.972435189327406,40.0,38713822.15712799,0.019482252,0.8202365349042152
BC,2520,75.34330949301203,64.30212139427215,49.15131756570284,62.93224948432901,10.0,9356859.494657448,-0.065821564,1.1751278254445792
NBIX,3520,76.63018983485095,60.088380465837716,51.95336799259637,62.89064609776168,5.0,31914242.77574212,0.044201632,0.6859763725512236
NSIT,4520,75.12382128184797,61.53389978236137,51.60515867686983,62.75429324702639,0.0,13767405.716351591,0.016156084,1.2972517055560233
AIN,2010,74.0628027260459,62.133149667498564,52.03541685419293,62.7437897492458,5.0,16747587.29207847,0.009155248,1.2587251731114655
SAMG,4020,74.4250281825189,61.82750432242307,51.94985635737088,62.73412962077094,20.0,10891859.709648088,0.012002772,0.9073514851979871
BOC,5020,78.73962935740062,58.91190981797395,50.49471691874996,62.71541869804151,40.0,37738203.4350085,0.004465288,0.36626631668643905
LYTS,2010,73.46357986794932,62.18685674793217,52.16825308487898,62.60622990025349,5.0,14240994.6103721,0.027012563,1.2993716170933292
TKNO,3520,74.38192968941408,61.353750069441865,51.76885729231037,62.50151235038877,0.0,-55581217.17567568,-0.034612812,1.02097201849036
AAMI,4020,73.18263224239082,62.272160957686516,52.027235582227085,62.49400959410148,10.0,31558128.98211091,-0.017070979,1.2979123740298122
BWMN,2010,74.51823343912136,61.370908287393114,51.564176864805106,62.484439530439865,8.0,32128806.46458307,0.012655793,1.1575601840978804
IOT,4510,70.47479651425071,63.34607129439669,53.59688105215208,62.47258295359982,10.0,-277960258.9621349,-0.032012865,1.9044201971530885
CFLT,4510,69.90511044049317,63.44013319475042,53.83249201200657,62.392578549083396,8.0,-29879397.183048442,-0.058326749,2.006314598100709
ATNI,5010,76.28057824850426,60.26277818232864,50.542467180223476,62.361941203685454,20.0,2653987.724307642,-0.000632062,0.29515178534051384
VOXR,1510,80.42125963985008,56.19675899785696,50.41661736261562,62.34487866677423,42.0,154397247.13549095,-0.012215662,0.4974213613103184
NWFL,4010,77.3205900539627,59.252347100737055,50.34246361676951,62.30513359048975,5.0,6176392.209110099,0.069337668,0.6062805083567564
CLMB,4520,75.21804443627187,59.83564238257488,51.84520139812067,62.299629405655814,10.0,37137463.460101254,0.056795838,1.0792851225841698
TARS,3520,76.6117313784488,60.200758654178706,50.03076920874113,62.281086413789545,10.0,-59941725.12256314,-0.068678488,0.5579598224077726
GTES,2010,71.9454369654808,62.2669041107499,52.05897956397724,62.090440213402644,5.0,10505060.126336778,0.012322808,1.4023501827603042
NMIH,4020,74.35714177779549,60.332968709428286,51.45486955420924,62.048326680477665,30.0,10039622.265321786,0.033901586,0.6206153079565268
RGTI,4530,66.29879361486343,68.44518348781922,51.20143001831059,61.981802373664415,5.0,-338052505.41851234,-0.13871663,2.1099317673262887
REPX,1010,70.21992404857338,62.805792684425235,52.83965697358926,61.95512456886262,30.0,4833619.618995146,0.020335635,1.3474822905152959
AGX,2010,72.46793171893219,60.93376795024597,52.426114999956965,61.94260488971171,5.0,72724590.89691706,0.061677213,1.3669083543319938
THR,2010,73.17878296180807,60.92213761876368,51.55613369369558,61.885684758089106,8.0,53073629.0963308,0.011574541,1.248417697386902
PSNL,3520,75.59223611932453,60.166805654747755,49.894218590606954,61.88442012155974,8.0,-24631063.348001864,-0.105912622,0.7029330055380688
NTAP,4520,71.60331594886344,60.65265650335017,53.31610618018625,61.85735954413328,0.0,62929297.168508284,0.056808915,1.5402853578741833
TLSI,3520,78.94113128749412,60.460303263468745,45.985512057355834,61.79564886943956,5.0,-16501646.68891371,-0.498724851,0.4749591903051437
CGNX,4520,74.68893813443776,60.230419929339625,50.35834943344497,61.759235832407455,5.0,50799308.264617726,0.003999492,1.2215423129122551
ONON,2520,65.87502518378058,61.28510903067047,58.087588012123824,61.749240742191624,20.0,39725004.16233495,0.057399079,1.4220209432247652
SEVN,4020,74.09906752277665,60.630133636395385,50.19062953156369,61.63994356357856,30.0,4431323.16988192,0.012180614,0.6410647059061463
SNDA,3510,71.9253318038862,60.75466369736089,52.184978197571084,61.621657899606056,20.0,20821858.73559759,-0.013684718,0.8867588736628657
KRYS,3520,74.0222517457897,59.45174920447752,51.30414935759354,61.592716769286916,8.0,68453023.66625342,0.022356016,0.8462917558407976
NUVL,3520,72.7791773485725,61.191279659457216,50.802980092465866,61.59114570016519,0.0,-34431264.92430147,-0.122483618,1.167322884461401
SLS,3520,75.77508770304081,60.48803470216126,48.49114318252672,61.584755195909594,5.0,-20111649.29962894,-0.270774728,0.7640576420618866
RVMD,3520,74.19774371494778,60.49962763601368,50.02383035253162,61.57373390116436,5.0,-21620785.624545492,-0.13133831,0.908088415069784
FXNC,4010,76.11266881966243,58.468553578009754,50.05281207478594,61.54467815748604,5.0,9605670.027901623,0.066214288,0.6419044395127315
DCO,2010,75.03622936493794,59.7501084039039,49.5799621202848,61.45543329637554,20.0,26998979.437750533,0.013315047,0.8413345438728069
CADL,3520,75.66737051180725,60.456553151977495,48.187714077065465,61.43721258028341,5.0,-16013467.463018067,-0.298379231,0.773893537362293
MPTI,4520,71.75199105629545,60.46503738412295,51.75431597047592,61.32378147029811,5.0,37710711.5972127,0.037168243,1.4242907559776627
CERS,3510,63.485684361365,65.33150874598562,54.938174629062225,61.251789245470945,0.0,-32227660.391072467,-0.047933472,1.8911336801493943
FWRG,2530,73.3892824208162,60.403145790083514,49.95115393669768,61.247860715865805,30.0,23110759.420116767,0.002082845,0.890741610140943
TECH,3520,73.4982680888145,59.51796784057457,50.6808776563204,61.23237119523649,10.0,28942109.827869195,-0.009534786,0.8422570509913
ESCA,2520,74.94068970435345,58.780646846978115,49.89414213674252,61.20515956269136,40.0,17951179.9716207,0.009462952,0.6247488017473074
ODP,2550,73.76227787985403,60.09432181657561,49.74799834535204,61.20153268059389,40.0,8887589.79787234,0.000579374,0.8361110195886375
SRBK,4010,79.72141892370841,56.81217026665708,47.0550700138108,61.196219734725425,20.0,8957817.216433005,0.056251981,0.4080564632195987
SNFCA,4020,69.60078550121362,61.86999876243758,52.044094947475685,61.17162640370896,20.0,10089875.666891096,0.01362189,1.2896168854733934
RGR,2520,67.99243941121038,80.38169535072223,35.10844070007598,61.160858487336206,80.0,-647654260.4041779,-0.068326186,0.18651233293529448
CZNC,4010,74.39150888423173,59.43634041377782,49.558210752404214,61.12868668347125,0.0,8003016.483724629,0.053426539,0.7351377592711738
